,Name,Model,Modalities,AUC,AUPR,F1-score,Sensitivity,Specificity,Kappa
33,Greedy selection*LogisticRegression,LogisticRegression,Greedy selection,0.6841652323580035,0.37348223806556213,0.7205882352941178,0.8095238095238095,0.5903614457831325,0.2607557052001498
34,All*LogisticRegression,LogisticRegression,All,0.8772231784279977,0.7108010099174638,0.8378378378378377,0.8571428571428571,0.7469879518072289,0.44253859348198976
35,All*Voting + LogisticRegression,Voting + LogisticRegression,All,0.8668961560527825,0.7082988078440307,0.6341463414634146,0.9523809523809523,0.46987951807228917,0.2301255230125523
36,All*Orthogonal small + LogisticRegression,Orthogonal small + LogisticRegression,All,0.8611589213998853,0.692075614070319,0.7887323943661971,0.8571428571428571,0.6746987951807228,0.35980937251787126
37,Domain expert*LogisticRegression,LogisticRegression,Domain expert,0.8967297762478484,0.7760986204338547,0.8322147651006712,0.8095238095238095,0.7469879518072289,0.4576271186440678
38,Domain expert*Voting + LogisticRegression,Voting + LogisticRegression,Domain expert,0.8795180722891566,0.7268266042948681,0.7591240875912408,0.9047619047619048,0.6265060240963856,0.35049205147615436
39,Domain expert*Orthogonal small + LogisticRegression,Orthogonal small + LogisticRegression,Domain expert,0.8841078600114745,0.7459638411236158,0.8219178082191781,0.8571428571428571,0.7228915662650602,0.4278459585272958
40,All + Clusters*LogisticRegression,LogisticRegression,All + Clusters,0.8772231784279978,0.7314099402929413,0.8322147651006712,0.8095238095238095,0.7469879518072289,0.42731277533039647
41,All + Clusters*Voting + LogisticRegression,Voting + LogisticRegression,All + Clusters,0.8720596672403902,0.7003230931500779,0.6771653543307087,0.9523809523809523,0.5180722891566265,0.25812873258128743
42,All + Clusters*Orthogonal small + LogisticRegression,Orthogonal small + LogisticRegression,All + Clusters,0.8777969018932873,0.7400216294218034,0.8299319727891157,0.8571428571428571,0.7349397590361446,0.4135338345864661
43,All + Text*LogisticRegression,LogisticRegression,All + Text,0.8737808376362592,0.7494384239755487,0.8400000000000001,0.8095238095238095,0.7590361445783133,0.44260830728003575
44,All + Text*Voting + LogisticRegression,Voting + LogisticRegression,All + Text,0.8663224325874929,0.6944412533581725,0.656,0.9523809523809523,0.4939759036144578,0.23927178153446038
45,All + Text*Orthogonal small + LogisticRegression,Orthogonal small + LogisticRegression,All + Text,0.8663224325874928,0.7173246769396382,0.8299319727891157,0.8571428571428571,0.7349397590361446,0.4278459585272958
46,Clusters*LogisticRegression,LogisticRegression,Clusters,0.8628800917957544,0.6786109158890734,0.8055555555555556,0.8571428571428571,0.6987951807228916,0.3995876288659794
47,Text*LogisticRegression,LogisticRegression,Text,0.85083189902467,0.6931681641528464,0.810810810810811,0.7619047619047619,0.7228915662650602,0.3533447684391081
48,Lasso*KNeighborsClassifier,KNeighborsClassifier,Lasso,0.5,0.20192307692307693,0.0,1.0,0.0,0.0
49,Greedy selection*KNeighborsClassifier,KNeighborsClassifier,Greedy selection,0.7300631095811819,0.4123209270372391,0.6917293233082706,0.8095238095238095,0.5542168674698795,0.2292118582791034
50,All*KNeighborsClassifier,KNeighborsClassifier,All,0.6916236374067699,0.3368377252228987,0.5666666666666667,0.8571428571428571,0.40963855421686746,0.14673398548438
51,All*Voting + KNeighborsClassifier,Voting + KNeighborsClassifier,All,0.7581755593803786,0.46605464929908835,0.4403669724770642,0.9047619047619048,0.2891566265060241,0.09195088676671204
52,All*Orthogonal small + KNeighborsClassifier,Orthogonal small + KNeighborsClassifier,All,0.7768215720022948,0.4756041388560824,0.5666666666666667,0.8571428571428571,0.40963855421686746,0.15511955855303494
