,Name,Model,Modalities,AUC,AUPR,F1-score,Sensitivity,Specificity,Kappa
0,Lasso*ExtraTreesClassifier,ExtraTreesClassifier,Lasso,0.8809523809523809,0.8627450980392157,0.7272727272727274,0.6153846153846154,0.9523809523809523,0.5296442687747036
1,Lasso*ExtraTreesClassifier,ExtraTreesClassifier,Lasso,0.9267399267399267,0.906433034034844,0.8333333333333333,0.7692307692307693,0.9523809523809523,0.603112840466926
2,Lasso*ExtraTreesClassifier,ExtraTreesClassifier,Lasso,0.891941391941392,0.7984893876862202,0.7692307692307693,0.7692307692307693,0.8571428571428571,0.4137931034482758
3,Lasso*ExtraTreesClassifier,ExtraTreesClassifier,Lasso,0.7637362637362637,0.7365453174276704,0.64,0.6153846153846154,0.8095238095238095,0.28352490421455934
4,Lasso*ExtraTreesClassifier,ExtraTreesClassifier,Lasso,0.9230769230769231,0.9177383504008891,0.8181818181818181,0.6923076923076923,1.0,0.5903614457831325
5,Lasso*ExtraTreesClassifier,ExtraTreesClassifier,Lasso,0.7857142857142858,0.7527998031716567,0.5833333333333334,0.5833333333333334,0.7619047619047619,0.435897435897436
6,Lasso*ExtraTreesClassifier,ExtraTreesClassifier,Lasso,0.9206349206349207,0.8876339210898033,0.8,0.8333333333333334,0.8571428571428571,0.6666666666666667
7,Lasso*ExtraTreesClassifier,ExtraTreesClassifier,Lasso,0.8538461538461539,0.8671401062705411,0.8,0.7692307692307693,0.9,0.6693386773547094
8,Lasso*ExtraTreesClassifier,ExtraTreesClassifier,Lasso,0.8326923076923078,0.7954475263298793,0.6956521739130435,0.6153846153846154,0.9,0.5237113402061855
9,Lasso*ExtraTreesClassifier,ExtraTreesClassifier,Lasso,0.8846153846153846,0.8821050744127668,0.8461538461538461,0.8461538461538461,0.9,0.6783625730994152
10,Greedy selection*ExtraTreesClassifier,ExtraTreesClassifier,Greedy selection,0.9597069597069597,0.9484895671130489,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8045977011494253
11,Greedy selection*ExtraTreesClassifier,ExtraTreesClassifier,Greedy selection,0.9633699633699634,0.9377937045357858,0.8799999999999999,0.8461538461538461,0.9523809523809523,0.7433962264150944
12,Greedy selection*ExtraTreesClassifier,ExtraTreesClassifier,Greedy selection,0.8827838827838828,0.8209525768349298,0.7407407407407408,0.7692307692307693,0.8095238095238095,0.5440613026819923
13,Greedy selection*ExtraTreesClassifier,ExtraTreesClassifier,Greedy selection,0.826007326007326,0.8268803418803419,0.6896551724137931,0.7692307692307693,0.7142857142857143,0.4867924528301887
14,Greedy selection*ExtraTreesClassifier,ExtraTreesClassifier,Greedy selection,0.9523809523809523,0.9307453230530154,0.8461538461538461,0.8461538461538461,0.9047619047619048,0.6640316205533596
15,Greedy selection*ExtraTreesClassifier,ExtraTreesClassifier,Greedy selection,0.7896825396825397,0.7873931623931626,0.6206896551724139,0.75,0.6190476190476191,0.45679012345679015
16,Greedy selection*ExtraTreesClassifier,ExtraTreesClassifier,Greedy selection,0.8789682539682541,0.827507215007215,0.6896551724137931,0.8333333333333334,0.6666666666666666,0.6071428571428572
17,Greedy selection*ExtraTreesClassifier,ExtraTreesClassifier,Greedy selection,0.8653846153846154,0.8751458194897108,0.7142857142857142,0.7692307692307693,0.75,0.6693386773547094
18,Greedy selection*ExtraTreesClassifier,ExtraTreesClassifier,Greedy selection,0.9096153846153846,0.8870919603272542,0.7857142857142856,0.8461538461538461,0.8,0.5237113402061855
19,Greedy selection*ExtraTreesClassifier,ExtraTreesClassifier,Greedy selection,0.9153846153846154,0.8982084155161079,0.7586206896551724,0.8461538461538461,0.75,0.6869070208728653
20,All*ExtraTreesClassifier,ExtraTreesClassifier,All,0.9322344322344323,0.9086413586413586,0.7857142857142856,0.8461538461538461,0.8095238095238095,0.5903614457831325
21,All*ExtraTreesClassifier,ExtraTreesClassifier,All,0.8901098901098902,0.8686350006202948,0.8461538461538461,0.8461538461538461,0.9047619047619048,0.6743295019157087
22,All*ExtraTreesClassifier,ExtraTreesClassifier,All,0.8864468864468866,0.8250164167287293,0.7142857142857142,0.7692307692307693,0.7619047619047619,0.4708171206225681
23,All*ExtraTreesClassifier,ExtraTreesClassifier,All,0.8131868131868132,0.7993352125143296,0.64,0.6153846153846154,0.8095238095238095,0.5296442687747036
24,All*ExtraTreesClassifier,ExtraTreesClassifier,All,0.9816849816849816,0.9674927636466096,0.9230769230769231,0.9230769230769231,0.9523809523809523,0.6640316205533596
25,All*ExtraTreesClassifier,ExtraTreesClassifier,All,0.7678571428571429,0.7706360215871086,0.6956521739130435,0.6666666666666666,0.8571428571428571,0.49673202614379086
26,All*ExtraTreesClassifier,ExtraTreesClassifier,All,0.9305555555555556,0.9042955399863295,0.7333333333333334,0.9166666666666666,0.6666666666666666,0.6666666666666667
27,All*ExtraTreesClassifier,ExtraTreesClassifier,All,0.851923076923077,0.8698754836382713,0.7692307692307693,0.7692307692307693,0.85,0.6693386773547094
28,All*ExtraTreesClassifier,ExtraTreesClassifier,All,0.8634615384615384,0.8329373524211579,0.6956521739130435,0.6153846153846154,0.9,0.4476987447698745
29,All*ExtraTreesClassifier,ExtraTreesClassifier,All,0.8711538461538461,0.8715059868906023,0.7857142857142856,0.8461538461538461,0.8,0.7461538461538462
30,All*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,All,0.9194139194139194,0.8725340898417819,0.7499999999999999,0.9230769230769231,0.6666666666666666,0.4538152610441768
31,All*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,All,0.8644688644688645,0.8468153641230562,0.8148148148148148,0.8461538461538461,0.8571428571428571,0.3755102040816326
32,All*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,All,0.8461538461538463,0.776056276554014,0.7096774193548387,0.8461538461538461,0.6666666666666666,0.4538152610441768
33,All*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,All,0.8717948717948718,0.8539018171371111,0.7741935483870968,0.9230769230769231,0.7142857142857143,0.5142857142857142
34,All*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,All,0.9487179487179487,0.9243350666427588,0.8148148148148148,0.8461538461538461,0.8571428571428571,0.5142857142857142
35,All*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,All,0.8134920634920635,0.7828648404735362,0.6060606060606061,0.8333333333333334,0.47619047619047616,0.49673202614379086
36,All*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,All,0.9007936507936508,0.8807012704071527,0.6874999999999999,0.9166666666666666,0.5714285714285714,0.6540880503144654
37,All*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,All,0.8730769230769231,0.8403223912839297,0.7058823529411765,0.9230769230769231,0.55,0.5975609756097562
38,All*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,All,0.8730769230769231,0.8356109763322399,0.7096774193548387,0.8461538461538461,0.65,0.4476987447698745
39,All*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,All,0.8846153846153846,0.8030665915281299,0.7741935483870968,0.9230769230769231,0.7,0.6192307692307693
40,All*Orthogonal small + ExtraTreesClassifier,Orthogonal small + ExtraTreesClassifier,All,0.9523809523809523,0.9371807177237039,0.8148148148148148,0.8461538461538461,0.8571428571428571,0.5903614457831325
41,All*Orthogonal small + ExtraTreesClassifier,Orthogonal small + ExtraTreesClassifier,All,0.9010989010989012,0.8869325119325118,0.8461538461538461,0.8461538461538461,0.9047619047619048,0.5296442687747036
42,All*Orthogonal small + ExtraTreesClassifier,Orthogonal small + ExtraTreesClassifier,All,0.8754578754578755,0.815134149237766,0.7199999999999999,0.6923076923076923,0.8571428571428571,0.4708171206225681
43,All*Orthogonal small + ExtraTreesClassifier,Orthogonal small + ExtraTreesClassifier,All,0.8461538461538461,0.828260956879378,0.7199999999999999,0.6923076923076923,0.8571428571428571,0.3952569169960475
44,All*Orthogonal small + ExtraTreesClassifier,Orthogonal small + ExtraTreesClassifier,All,0.9706959706959707,0.9445684657223117,0.8799999999999999,0.8461538461538461,0.9523809523809523,0.5142857142857142
45,All*Orthogonal small + ExtraTreesClassifier,Orthogonal small + ExtraTreesClassifier,All,0.8253968253968254,0.8172847154358044,0.7199999999999999,0.75,0.8095238095238095,0.5157232704402515
46,All*Orthogonal small + ExtraTreesClassifier,Orthogonal small + ExtraTreesClassifier,All,0.9444444444444444,0.9323107233323953,0.7333333333333334,0.9166666666666666,0.6666666666666666,0.7283950617283951
47,All*Orthogonal small + ExtraTreesClassifier,Orthogonal small + ExtraTreesClassifier,All,0.8423076923076923,0.864233682983683,0.7142857142857142,0.7692307692307693,0.75,0.6783625730994152
48,All*Orthogonal small + ExtraTreesClassifier,Orthogonal small + ExtraTreesClassifier,All,0.8769230769230769,0.8591238500062031,0.7826086956521738,0.6923076923076923,0.95,0.4476987447698745
49,All*Orthogonal small + ExtraTreesClassifier,Orthogonal small + ExtraTreesClassifier,All,0.8615384615384615,0.8435325358402279,0.7857142857142856,0.8461538461538461,0.8,0.6869070208728653
50,Domain expert*ExtraTreesClassifier,ExtraTreesClassifier,Domain expert,0.9597069597069596,0.9430744693902589,0.8461538461538461,0.8461538461538461,0.9047619047619048,0.6640316205533596
51,Domain expert*ExtraTreesClassifier,ExtraTreesClassifier,Domain expert,0.9212454212454212,0.891872180107474,0.8799999999999999,0.8461538461538461,0.9523809523809523,0.6743295019157087
52,Domain expert*ExtraTreesClassifier,ExtraTreesClassifier,Domain expert,0.9157509157509157,0.8645538787507112,0.7407407407407408,0.7692307692307693,0.8095238095238095,0.5296442687747036
53,Domain expert*ExtraTreesClassifier,ExtraTreesClassifier,Domain expert,0.8003663003663004,0.7974149192013564,0.64,0.6153846153846154,0.8095238095238095,0.5440613026819923
54,Domain expert*ExtraTreesClassifier,ExtraTreesClassifier,Domain expert,0.9194139194139195,0.9189016112093036,0.8333333333333333,0.7692307692307693,0.9523809523809523,0.6640316205533596
55,Domain expert*ExtraTreesClassifier,ExtraTreesClassifier,Domain expert,0.8134920634920635,0.7894049617365558,0.64,0.6666666666666666,0.7619047619047619,0.576923076923077
56,Domain expert*ExtraTreesClassifier,ExtraTreesClassifier,Domain expert,0.9146825396825397,0.8828656236550975,0.6896551724137931,0.8333333333333334,0.6666666666666666,0.7380952380952381
57,Domain expert*ExtraTreesClassifier,ExtraTreesClassifier,Domain expert,0.8423076923076924,0.8571237785122778,0.7692307692307693,0.7692307692307693,0.85,0.5975609756097562
58,Domain expert*ExtraTreesClassifier,ExtraTreesClassifier,Domain expert,0.8711538461538462,0.8417257293251987,0.6956521739130435,0.6153846153846154,0.9,0.5237113402061855
59,Domain expert*ExtraTreesClassifier,ExtraTreesClassifier,Domain expert,0.9115384615384615,0.8991213914290839,0.8148148148148148,0.8461538461538461,0.85,0.7461538461538462
60,Domain expert*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,Domain expert,0.9597069597069597,0.9316534772417127,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.6743295019157087
61,Domain expert*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,Domain expert,0.8571428571428571,0.8585317480975048,0.8461538461538461,0.8461538461538461,0.9047619047619048,0.5440613026819923
62,Domain expert*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,Domain expert,0.8754578754578755,0.8326805672959519,0.7857142857142856,0.8461538461538461,0.8095238095238095,0.3952569169960475
63,Domain expert*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,Domain expert,0.8681318681318682,0.8575345092313418,0.7586206896551724,0.8461538461538461,0.7619047619047619,0.5296442687747036
64,Domain expert*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,Domain expert,0.9487179487179487,0.918565835873528,0.8333333333333333,0.7692307692307693,0.9523809523809523,0.5296442687747036
65,Domain expert*Voting + ExtraTreesClassifier,Voting + ExtraTreesClassifier,Domain expert,0.7777777777777778,0.7591737891737893,0.6206896551724139,0.75,0.6190476190476191,0.45679012345679015
