,Name,Model,Modalities,AUC,AUPR,F1-score,Sensitivity,Specificity,Kappa
34,All*LogisticRegression,LogisticRegression,All,0.8508318990246702,0.6850058067261431,0.8299319727891157,0.8571428571428571,0.7349397590361446,0.4135338345864661
35,All*Voting + LogisticRegression,Voting + LogisticRegression,All,0.8324727481353988,0.6832854878979995,0.6290322580645161,0.9047619047619048,0.46987951807228917,0.163107397090684
36,All*Orthogonal small + LogisticRegression,Orthogonal small + LogisticRegression,All,0.8416523235800345,0.6839571418623287,0.7887323943661971,0.8571428571428571,0.6746987951807228,0.3727382388419783
37,Domain expert*LogisticRegression,LogisticRegression,Domain expert,0.8697647733792312,0.7579548918214933,0.8082191780821918,0.8095238095238095,0.7108433734939759,0.3838341091832417
38,Domain expert*Voting + LogisticRegression,Voting + LogisticRegression,Domain expert,0.8370625358577165,0.6670767273078988,0.7218045112781953,0.9047619047619048,0.5783132530120482,0.3044107013738251
39,Domain expert*Orthogonal small + LogisticRegression,Orthogonal small + LogisticRegression,Domain expert,0.8554216867469879,0.7073670151512519,0.8055555555555556,0.8571428571428571,0.6987951807228916,0.3995876288659794
40,All + Clusters*LogisticRegression,LogisticRegression,All + Clusters,0.861732644865175,0.7222922668408438,0.8243243243243243,0.8095238095238095,0.7349397590361446,0.4124293785310734
41,All + Clusters*Voting + LogisticRegression,Voting + LogisticRegression,All + Clusters,0.844520940906483,0.6842096096485315,0.64,0.9047619047619048,0.4819277108433735,0.20546163849154753
42,All + Clusters*Orthogonal small + LogisticRegression,Orthogonal small + LogisticRegression,All + Clusters,0.8519793459552496,0.7070040312037524,0.8137931034482758,0.8571428571428571,0.7108433734939759,0.3995876288659794
43,All + Text*LogisticRegression,LogisticRegression,All + Text,0.8537005163511188,0.7269822608703149,0.8400000000000001,0.8095238095238095,0.7590361445783133,0.42731277533039647
44,All + Text*Voting + LogisticRegression,Voting + LogisticRegression,All + Text,0.8399311531841652,0.6746606305198404,0.64,0.9047619047619048,0.4819277108433735,0.20546163849154753
